DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTMCRUDELESS50000,PARTMCRUDE50001TO100000,PARTMCRUDE100001TO150000,PARTMCRUDEOVER150000,PARTMCRUDETOTAL,PARTMNONHVLLESS50000,PARTMNONHVL50001TO100000,PARTMNONHVL100001TO150000,PARTMNONHVLOVER150000,PARTMNONHVLTOTAL,PARTMHVLLESS50000,PARTMHVL50001TO100000,PARTMHVL100001TO150000,PARTMHVLOVER150000,PARTMHVLTOTAL,PARTMCO2_LESS50000,PARTMCO2_50001TO100000,PARTMCO2_100001TO150000,PARTMCO2_OVER150000,PARTMCO2_TOTAL,PARTM_ETHANOLLESS50000,PARTM_ETHANOL50001TO100000,PARTM_ETHANOL100001TO150000,PARTM_ETHANOLOVER150000,PARTM_ETHANOLTOTAL
3/1/2022,2017,20183493,16031,31663,NAVAJO NATION OIL AND GAS COMPANY,Crude Oil,INTERSTATE,COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183493,16031,31663,NAVAJO NATION OIL AND GAS COMPANY,Crude Oil,INTERSTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183493,16031,31663,NAVAJO NATION OIL AND GAS COMPANY,Crude Oil,INTERSTATE,UTAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183468,16004,31672,"CHAPARRAL ENERGY, LLC",CO2,INTRASTATE,OKLAHOMA,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,ILLINOIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,LOUISIANA,0,1,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,MONTANA,4,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,NORTH DAKOTA,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,OKLAHOMA,2,5,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,TEXAS,0,8,10,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTERSTATE,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTRASTATE,CALIFORNIA,3,8,14,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTRASTATE,LOUISIANA,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTRASTATE,OKLAHOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183194,16415,31684,PHILLIPS 66 PIPELINE LLC,Crude Oil,INTRASTATE,TEXAS,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,COLORADO,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,ILLINOIS,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,IOWA,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,MISSOURI,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,OKLAHOMA,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTERSTATE,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2017,20183197,15714,31684,PHILLIPS 66 PIPELINE LLC,HVL,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
