DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPONCPB,PARTPONCPC,PARTPONCUB,PARTPONCUC,PARTPONCUP,PARTPONCUO,PARTPONTOTAL,PARTPOFFCPB,PARTPOFFCPC,PARTPOFFCUB,PARTPOFFCUC,PARTPOFFCUP,PARTPOFFCUO,PARTPOFFTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCUPTOTAL,PARTPCUOTOTAL,PARTPTOTMILES,PARTPOTHER
3/1/2022,2018,20190196,16607,26303,UNOCAL PIPELINE CO - EASTERN REGION,Crude Oil,INTRASTATE,TEXAS,0,4.7,0,0,0,0,4.7,0,0,0,0,0,0,0,0,4.7,0,0,0,0,4.7,
3/1/2022,2018,20190093,16487,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",HVL,INTRASTATE,OKLAHOMA,0,11.58,0,0,0,0,11.58,0,0,0,0,0,0,0,0,11.58,0,0,0,0,11.58,
3/1/2022,2018,20190605,17073,30003,HOUSTON REFINING LP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,3,
3/1/2022,2018,20190143,16544,30544,OCCIDENTAL CHEMICAL CORP,HVL,INTRASTATE,TEXAS,41.946,0,0,0,0,0,41.946,0,0,0,0,0,0,0,41.946,0,0,0,0,0,41.946,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTERSTATE,LOUISIANA,0,22.03,0,0,0,0,22.03,0,0,0,0,0,0,0,0,22.03,0,0,0,0,22.03,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTERSTATE,TEXAS,0,84.4,0,0,0,0,84.4,0,0,0,0,0,0,0,0,84.4,0,0,0,0,84.4,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTRASTATE,TEXAS,0,195.36,0,0,0,0,195.36,0,0,0,0,0,0,0,0,195.36,0,0,0,0,195.36,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,COLORADO,0,89,0,0,0,0,89,0,0,0,0,0,0,0,0,89,0,0,0,0,89,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,NEW MEXICO,0,376.33,0,0,0,0,376.33,0,0,0,0,0,0,0,0,376.33,0,0,0,0,376.33,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,TEXAS,0,418.86,0,0,0,0,418.86,0,0,0,0,0,0,0,0,418.86,0,0,0,0,418.86,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTRASTATE,TEXAS,0,169.22,0,0,0,0,169.22,0,0,0,0,0,0,0,0,169.22,0,0,0,0,169.22,
3/1/2022,2018,20190627,17059,30658,KERN OIL & REFINING CO.,Crude Oil,INTRASTATE,CALIFORNIA,0,18.6,0,0,0,0,18.6,0,0,0,0,0,0,0,0,18.6,0,0,0,0,18.6,
3/1/2022,2018,20190587,17196,30666,"ENMARK ENERGY, INC",CO2,INTRASTATE,MISSISSIPPI,0,9.63,0,0,0,0,9.63,0,0,0,0,0,0,0,0,9.63,0,0,0,0,9.63,
3/1/2022,2018,20190197,16608,30683,WESTLAKE PETROCHEMICALS LLC,HVL,INTRASTATE,LOUISIANA,0,17.479,0,0,0,0,17.479,0,0,0,0,0,0,0,0,17.479,0,0,0,0,17.479,
3/1/2022,2018,20190199,16610,30683,WESTLAKE PETROCHEMICALS LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,LOUISIANA,0,6.836,0,0,0,0,6.836,0,0,0,0,0,0,0,0,6.836,0,0,0,0,6.836,
3/1/2022,2018,20190514,16945,30709,HUNTSMAN PETROCHEMICAL LLC,HVL,INTRASTATE,TEXAS,0,1.13,0,0,0,0,1.13,0,0,0,0,0,0,0,0,1.13,0,0,0,0,1.13,
3/1/2022,2018,20190513,16944,30709,HUNTSMAN PETROCHEMICAL LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,15.39,0,0,0,0,15.39,0,0,0,0,0,0,0,0,15.39,0,0,0,0,15.39,
3/1/2022,2018,20190223,16635,30711,HILCORP ENERGY COMPANY,Crude Oil,INTRASTATE,LOUISIANA,0,4.943,0,0,0,0,4.943,0,1.967,0,0,0,0,1.967,0,6.91,0,0,0,0,6.91,
3/1/2022,2018,20190159,16564,30755,CITGO PRODUCTS PIPELINE CO,HVL,INTERSTATE,LOUISIANA,0,23.452,0,0,0,0,23.452,0,0,0,0,0,0,0,0,23.452,0,0,0,0,23.452,
