DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180430,751,16667,ENERGY NORTH NATURAL GAS INC,1575,LNG PLANT TILTON-NH,89392,LNG_PLNT_NH_TIL,NH,,In Service,1/1/1973,0,2,8,Truck,Intrastate,1,1285,Satellite,,Storage w/o Liquefaction,,INITIAL,1/31/2018,1/31/2018
03/01/22,2017,20180430,751,16667,ENERGY NORTH NATURAL GAS INC,1576,LNG PLANT CONCORD-NH,89390,LNG_PLNT_NH_MNC,NH,,In Service,1/1/1974,0,1,6,Truck,Intrastate,1,1285,Satellite,,Storage w/o Liquefaction,,INITIAL,1/31/2018,1/31/2018
03/01/22,2017,20180430,751,16667,ENERGY NORTH NATURAL GAS INC,1577,LNG PLANT MANCHESTER-NH,89391,,NH,,In Service,1/1/1972,0,2,5,Truck,Intrastate,1,1215,Satellite,,Storage w/o Liquefaction,,INITIAL,1/31/2018,1/31/2018
03/01/22,2017,20180470,796,17540,ROANOKE GAS CO,1708,LNG FACILITY,89393,40,VA,24083,In Service,5/15/1972,1,2,30,Liquefaction,Intrastate,1,59200,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/2/2018,3/2/2018
03/01/22,2017,20180450,775,18112,SAN DIEGO GAS & ELECTRIC CO,1623,BORREGOLNG,87076,,CA,92004,In Service,3/1/1968,0,8,0.238,Truck,Intrastate,2,333,Satellite,,Storage w/o Liquefaction,,INITIAL,2/20/2018,2/20/2018
03/01/22,2017,20180489,817,18408,SOUTH CAROLINA ELECTRIC & GAS CO,1615,BUSHY PARK LNG,89394,186050,SC,29445,In Service,1/1/1975,6,3,60,Liquefaction,Intrastate,2,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180489,817,18408,SOUTH CAROLINA ELECTRIC & GAS CO,1616,SALLEY LNG,89395,186055,SC,29107,In Service,12/31/1993,0,2,90,Truck,Intrastate,1,260000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180446,771,18440,SOUTH JERSEY GAS CO,1617,MCKEE CITY,89396,2042478,NJ,08234,In Service,1/1/1973,5,2,110,Liquefaction,Intrastate,1,116800,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/15/2018,2/15/2018
03/01/22,2017,20180480,806,18490,"SOUTHERN LNG, INC",1718,Southern LNG (Elba Island),42972,60000,GA,31404,In Service,12/3/2001,0,11,1755,Ship/Barge,Interstate,5,3450000,Base Load,,Marine Terminal - Import,,INITIAL,3/8/2018,3/8/2018
03/01/22,2017,20180480,806,18490,"SOUTHERN LNG, INC",1719,SLNG - SLNG DELIVERY FOR ELBA FUEL,42972,935210,GA,,Abandoned,12/3/2001,0,0,0,Ship/Barge,Interstate,0,0,Base Load,,Marine Terminal - Import,,INITIAL,3/8/2018,3/8/2018
03/01/22,2017,20180433,994,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,2139,STATION 240,271,240,NJ,07072-2397,In Service,6/1/1965,1,4,400,Liquefaction,Interstate,2,580000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,2/2/2018,2/25/2020
03/01/22,2017,20180467,793,19733,"LAKE CHARLES LNG COMPANY, LLC",1680,"LAKE CHARLES LNG COMPANY, LLC",1104,LAKE CHARLES LNG COMPANY,LA,70605,In Service,9/26/1982,0,18,2100,Ship/Barge,Interstate,4,2700000,Base Load,,Marine Terminal - Import,,INITIAL,3/1/2018,3/1/2018
03/01/22,2017,20180494,823,22189,PUGET SOUND ENERGY,1699,LNG Mobile System,85654,,WA,98335,In Service,12/20/2001,0,1,6,Truck,Intrastate,2,476,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/13/2018,3/13/2018
